No.,Name of the Organization,District of HQs/Physical Address,GEOGRAPHICAL AREA OF COVERAGE,KEY ACTIVITIES/OBJECTIVES,REG NUMBER,PERMIT NUMBER
4361,THE SON INITIATIVE,KAMPALA; KIGOBE RD KINAWATAKA ZONE BUKOTO II PARISH; BOX 28986 KAMPALA,COUNTRYWIDE,"LEADERSHIP SKILLS DEVELOPMENT, MENTORSHIP, EVANGELISM",INDR11223694NB,INDP10658694NB
4362,THE SONIA NABETA FOUNDATION,"WAKISO; PLOT 1325/1326, BLOCK 265 KYADONDO ZZANA;","MUKONO, WAKISO","HEALTH CARE TO DIABETES PATIENTS (CHILDREN), VOCATIONAL AND CREATIVE CENTRES",INDR154944483NB,INDP0004483NB
4363,THE SOURCE CHRISTIAN MINISTRIES,"KAMPALA; MUNYONYO; P.O. BOX 26573, KAMPALA",KAMPALA,TO PROPAGATE THE GOSPEL AND TEACHINGS OF JESUS CHRIST; TO ENCOURAGE AND TRAIN CH,INDR13817927NB,INDP000927NB
4364,THE SSUBI FOUNDATION,GULU; PLOT 26 VANGUARD PARISH PECE DIVISION REPUBLIC ROAD; P.O. BOX 606 GULU,GULU,EDUCATION SUPPORT,INTR90304302NB,INTP85534302NB
4365,THE STRANGER'S LIFE NETWORK,,,"CHILD PROTECTION, PROVIDE HEALTH SERVICES, CHILD DEVELOPMENT AND LIVELIHOOD",INDR12425440NB,INDP12260440NB
4366,THE SYNAGOGUE CHURCH OF ALL NATIONS -UGANDA,,,,INDR4622684,INDP
4367,THE TEENS UGANDA,"KAMPALA DISTRICT,KAWAALA, KASUBI PARISH, LUBAGA DIVISION. P.O BOX 23657, KAMPALA",COUNTRYWIDE,TO IMPROVE THE LIFE OF YOUTH,INDR72892200NB,INDP69192200NB
4368,THE TIGERS CLUB PROJECT,"KAMPALA; BLOCK 8; PLOT 211, KIBUGA ROAD RUBAGA DIVISION; P.O. BOX 7737 KAMPALA",KAMPALA,REDUCING THE NUMBER OF STREET LIVING ON THE STREETS; IMPROVING LIVES OF YOUNG ST,FORR2046923NB,FORP1890923NB
4369,THE TRUE VINE CHILD DEVELOPMENT INITIATIVE (TVCDI),LIRA,LIRA,"PROVISION OF EARLY CHILDHOOD DEVELOPMENT, QUALITY EDUCATION, GROWTH AND ECONOMIC",INDR13571429NB,INDP000429NB
4370,THE UGANDA BANYARWANDA CULTURAL DEVELOPMENT ASSOCI,"P.O. BOX 71633, KAMPALA",COUNTRYWIDE,TO SENSITISE MEMBERS ON BETTER STANDARDS,INDR15453393NB,INDP14283393NB
4371,THE UGANDA INITIATIVE FOR INTEGRATED MANAGEMENT OF,KAMPALA; PLOT I MULAGO HILL ROAD MULAGO NATIONAL REFERRAL HOSPITAL; P.O BOX 7051,KAMPALA,ESTABLISH AN INTEGRATED SYSTEM FOR NON-COMMUNCIABLE DISEASES AND PSYCHOSOCIAL SU,INDR152814229NB,INDP0004229NB
4372,THE UGANDA LAND ALLIANCE,"KAMPALA DISTRICT,PLOT 29,KIMERA CLOSE NTINDA",COUNTRYWIDE,"LOBBYING ADVOCACY RESEARCH AND DOCUMENTATION ON LAND LAW,AND STUDY POLICIES AND",INDR25452250NB,INDP24442250NB
4373,THE UGANDA NATIONAL MEDICAL ALLIANCE FOR PRISONERS,LYANTONDE; KALIIRO CELL WARD LYANTONDE T/COUNCIL; BOX 4087 KAMPALA,LYANTONDE,"TO CARE AND SUPPORT PRISONERS AND THEIR FAMILIES,COMMUNITY AND REMAND CHILDREN,",INDR126092619NB,INDP122522619NB
4374,THE UGANDA NON COMMUNICABLE DISEASES ALLIANCE,KAMPALA; PLOT 731 MAWANDA ROAD; P.O. BOX 1799 KAMPALA,COUNTRYWIDE,ADVOCATING FOR THE DEVELOPMENT AND IMPLEMENTATION OF NCD POLICY AND PRACTICE IN,INDR140471596NB,INDP0001596NB
4375,THE UGANDA PARLIAMENTARY FORUM ON SPCIAL POROTECTI,KAMPALA; PARLIAMENT OF UGANDA; BOX 7178 KAMPALA,KAMPALA,"PARLIAMENTARIAN NETWORKING, RESARCH AND ADVOCACY",INDR154104424NB,INDP0004424NB
4376,THE UGANDA SKATE BOARD UNION,"KAMPALA DISTRICT,NAKAWA DIVISION,KITINTALE ZONE 12",COUNTRYWIDE,TO INTRODUCE SKATE BOARDING TO THE YOUTH AND CONSTRUCT SKATE BOARD IN UGANDA,FORR69672518NB,FORP65022518NB
4377,THE UNITAS FRATRUM OR MORAVIAN CHURCH IN UGANDA,"BUIKWE; PLOT 9 KABUBIRO MAWOTO PARISH, NAJJA S/CTY; BOX 993 MUKONO",MUKONO,PROMOTING EVANGELISM,INDR80155410NB,INDP74905410NB
4378,THE VICTIM RELIEF ALLIANCE,"ARUA DISTRICT, ALONG EDIOFE CATHEDRAL RD 30M AFTER MOISE PETROL STATION ARUA MUN",ARUA,"TO EMPOWER HUMAN CAPACITYWOMEN AND GIRLS ON SELF -RELIANCE,",INDR149633616NB,INDP0003616NB
4379,THE VOICELESS ORPHAN TASKFORCE (U),"BUTAMBALA DISTRICT,PLOT NO 123 BLOCK 19NGANDO P.O.BOX 10502 KAMAPALA",COUNTRYWIDE,TO PROMOTE EDUCATION FOR THE ORPHANED CHILDREN,INDR52112196NB,INDP48502196NB
4380,THE WALKING SCHOOL BUS UGANDA LTD,"486, MBALE",KAMPALA,TO PROVISION OF HUMANITARIAN SERVICES TO PERSON .,FORP0005571NB,FORR159795517NB
4381,THE WATER TRUST,"KAMPALA; KYAMBOGO DRIVE, PLOT 2B3, NTINDA; P.O. BOX 28946 KAMPALA",KAMPALA,EMPOWERS THE POOREST RURAL COMMUNITIES IN UGANDA TO PROVIDE CLEAN WATERAND HEALT,INTR99804733NB,INTP97934733NB
4382,THE WAY HOME AFRICA - UGANDA,"IGANGA; BUSIMBA VILL, NASUUTI PARISH NAMBALE SC; BOX 32 IGANGA",IGANGA,"PRIMARY HEALTH CARE, CHRISTIAN SPIRITUAL VALUES, OVCS SUPPORT",INDR13525515NB,INDP000515NB
4383,THE WELL-BEING FOUNDATION,KAMPALA; KAMUKAMU PLAZA LAST FLOOR A16 PLOT 10 ENTEBBE ROADAND KISENYI MENGO DIV,KAMPALA,"EDUCATION, MUSIC ARTS AND SPORTS FOR TALENT DEVELOPMENT; HUMAN RIGHTS, CONSULTAN",INDR146392464NB,INDP0002464NB
4384,THE WESTMINSTER FOUNDATION FOR DEMOCRACY,KAMPALA; PLOT 18 PARLIAMENTARY AVENUE DEVELOPMENT HOUSE OFFICE B1; P.O. BOX 7178,COUNTRYWIDE,DEVELOPMENT OF PRURALISTIC DEMOCRACTIC PRACTICES AND POLITICAL INSTITUTIONS,INDR132912735NB,INDP130282734NB
4385,THE WITNESS OF CHRIST MINISTRY,WAKISO; BLOCK 28 PLOT 2016 NSASA MBALWA NAMUGONGO; P.O BOX 75549 KAMPALA,WAKISO,CHARITABLE ACTIVITIES TO THE POOR AND NEEDY; EVANGELISM,FORR10821603NB,FORP10410603NB
4386,THE WOMEN'S PROBONO INITIATIVE (U),"KAMPALA; MAKINDYE, P.O. BOX 8052 KAMPALA",COUNTRYWIDE,TO PROMOTE A UGANDA FREE OF VIOLENCE AND DISCRIMINATION; PROVIDE FREE LEGAL SEVI,INDR141911915NB,INDP0001915NB
4387,THE WORD ENCOUNTER MINISTRY,WAKISO; URINGI CRESCENT PLOT 64 KIWAFU CENTRAL; BOX 773 ENTEBBE,WAKISO,"PREACHING THE GOSPEL, PROMOTING SPIRITUAL TRANSFORMATION",FORR13403125NB,FORP13196125NB
4388,THE WORD NATION,"LUWEERO; KAVULE VILL. & PARISH, KASANA TOWN COUNCIL",LUWEERO,TO BRING THE GOOD NEWS CLOSER TO MANKIND,INDR161855477NB,INDP0005477NB
4389,THE WORD NATION CO (U) LTD,LUWERO,LUWERO,"TO BRING THE GOOD NEWS, THE GOSPEL OF JESUS CHRIST INTO EVERY MAN'S WORLD THROUG",INDR161855477NB,INDP0005477NB
4390,THE YOUNG LIVING FOUNDATION,,,,INDR146733040NB,INDP0003040NB
4391,THEMATIC INITIATIVES FOUNDATION,"LUUKA; BUKOOVA T/C VILLAGE,NABYOTO PARISH,BUKOOMA SUB COUNTY,P.O.BOX 1901",LUUKA,TO ADDRESS ISSUES RELATED TO GENDER BASED VIOLENCE,INDR156984847NB,INDP0004847NB
4392,THILS ORPHANS CHRISTIAN FOUNDATION,"KIRYANDONGO DISTRICT, BWEYALE KIRANDONGO SETTLEMENT, BWEYALE TOWN COUNCIL, KIRA",COUNTRYWIDE,TO PROVIDE EDUCATION VULNERABLE PEOPLE ESPECIALLY,,
4393,THINK HUMANITY UGANDA ASSOCIATION,"HOIMA; KALYABUHIIRE ROAD,200M FROM KALYABUHIIRE TRADING CENTRE; P.O.BOX 291.",COUNTRY WIDE,"TO PROMOTE LIVELIHOOD PROGRAMMES,PROVIDE CLEAN DRINKING WATER,PROMOTE EDUCATION,",FORR156934828NB,FORP0004828NB
4394,THINK WELL INSTITUTE,"KAMPALA; NAKASERO,MACKINNON ROAD,LOTUS TOWERS, 2ND FLOOR,SHIRIKI HOUSE.P.O.BOX 1",KAMPALA,EMPOWER SOCIAL INNOVATION,INTR156774838NB,INTP0004838NB
4395,THINKFIELD RESEARCH AND REGIONAL INTEGRATION,KAMPALA; CENTRAL ZONE KABALAGALA PARISH MAKINDYE DIV. 3RD FLOOR APARTMENT B5,KAMPALA,COMMUNITY DEVELOPMENT AND RESEARCH,REGR157874874NB,REGP0004874NB
4396,THIRD HOPE AFRICA,P.O BOX 497 GULU,GULU,PROVIDING SAFE WATER ENVIRONMENT FOR THOSE IN CAMPS AND SOLDERS IN THE LRA WAR,FORR8830311NB,FORP8298311NB
4397,THIS IS HOPE UGANDA,KAMPALA; KAWEMPE; P.O.BOX 103 JINJA,KAMPALA,"PROVIDING HOPE TO VULNERABLE WOMEN,CHILDREN AND ELDERLY PEOPLE BY ASSISTING,SUPP",FORR155404632NB,FORP0004632NB
4398,THOBIN SKILLS DEVELOPMENT FOUNDATION UGANDA,KAMPALA; MAPEERA ROAD NALUKOLONGO; P.O BOX 34552 KAMPALA,KAMPALA,"TO PROMOTE, ESTABLISH, MANAGE, CONTROL, SUPERVISE, GIFTS, GRANTS, OTHER ASSISTAN",INDR151493186NB,INDP0003186NB
4399,THOMAS CHARITIES UGANDA,NWOYA; GORO TRADING CENTRE KOCHI LII SUB COUNTY OFF KOCHI LII ROAD; P.O. BOX 159,COUNTRYWIDE,"EDUCATIONAL PRGRAMMES AND ADVOCACY, PROVIDE FREE MEDICAL SERVICES AND HEALTH EDU",INTR117522043NB,INTP1136592043NB
4400,THP FOUNDATION,"MBALE; OPPOSITE MT. ELGON HOTEL, SENIOR QUARTERS, BUTANDIKA ROAD CALDERA UWA HOU",COUNTRYWIDE,PROVISION OF HEALTH CARE TO VULNERBALE GROUPS OF PEOPLE; ETSBALISH HEALTH FACILI,FORR141751452NB,FORP0001452NB
4401,THREAD OF LIFE WOMEN EMPOWERMENT MINISTRIES,"KAMPALA DISTRICT, PLOT 867, CHURCH ROAD , MULAGO",KAMPALA,TO EMPOWER VULNERABLE WOMEN WITH SKILLS,,
4402,THREAD OF LIFE WOMEN EMPOWERMENT MINISTRIES,,,,,
4403,THRIVE GULU,"GULU; PLOT 1& 2 LALOGI CLOSE, PLOT 9 &11 MIN OWINO LN, LAYIBI TECHO; BOX 461 GUL",GULU,TO ASSIST COMMUNITIES OF NORTHERN UGANDA,INDR98313191NB,INDP93173191NB
4404,THRIVE SUPPORT UGANDA,"WAKISO;NAALYA SPINE ROAD,PLOT 281-NAALYA ESTATES.","WAKISO,KAMPALA,MBALE,GULU","TO PROMOTE RESORCE MOBILIZATION,FORMAL EDUCATION AND TRAINING,ADOLESCENT AND SEX",INDR156254728NB,INDP0004728NB
4405,THRIVING YOUTH FARMERS UGANDA,"WAKISO; KALONGERO CELL, KANZIIZE WARD MASULITA T/COUNCIL",WAKISO,"YOUTHS SKILLING, COMMUNITY EMPOWERMENT, IGAS",INDR160315313NB,INDP0005313NB
4406,THUMBS UP TO SMILE FOUNDATION,KAMPALA; P.O. BOX 217 KAMPALA,KAMPALA,TO BUILD CHARACTERS AND WELFARE OF VULNERABLE CHILDREN IN AND OUTSIDE EDUCATION,INDR151624162NB,INDP0004162NB
4407,TICK ELDERLY CARE AND SUPPORT ORGANISATION,,,,INDR13605633NB,INDP000636NB
4408,TIKO UGANDA,"KAMPALA, NAKAWA DIVISION ,PLOT 31, NTINDA KISAASI ROAD, NTINDA SHOPPING COMPLEX","KAMPALA,MUKONO,WAKISO","TO SAVE LIVES THROUGH ADVANCEMENT OF HEALTH, EDUCATION, ENCOURAGE AND SUPPORT AC",FORR165005801NB,FORP0005801NB
4409,TIKVAK ALIVE UGANDA,"WAKISO; NABWERU SOUTH ZONE CELL 1, KABIRA AREA OPP WORLD OF FAITH CHRISTIAN CHUR",WAKISO,"TO REACH OUT TO THE HOPELESS, ESTABLISH PROJECTS, PSYCHOSOCIAL SUPPORT",INDR158525198NB,INDP0005198NB
4410,TIMOTHY ORPHANAGE HOME,"MASAKA; KIRINDA VILLAGE KALAGALA PARISH, MUKUNGWE SC; P.O. BOX 1904 MASAKA",MASAKA,"EVANGELISM, COMMUNITY EMPOWERMENT AND SUPPORT OVCS",INDR102233735NB,INDP102233735NB
4411,TINE ON THE MOUNTAIN MINISTRIES,KAMPALA; LUWAFU- MAKINDYE DIVISION; P.O. BOX 37743 KAMPALA,KAMPALA,"TO PROVIDE EDUCATION, MEDICAL CARE, SPIRITUAL AND EMOTIONAL SUPPORT TO THE OVCS",INDR152574220NB,INDP0004220NB
4412,TITI FOUNDATION AFRICA,KAMPALA; LUZIRA JOS HOUSE; OLD PORTBELL ROAD; MAMBO BADO LCI. P.O. BOX 34363 KAM,KAMPALA,PROMOTE PEACE AND DEVELOPMENT; RELIEF AID TO THE NEEDY; EMPOWERING CHILDREN AND,INDR13705827NB,INDP000827NB
4413,TNJTECH KOREA FOUNDATION,"KAMPALA; SEMANDA HOUSE,PLOT 6992,P.O.BOX 101791",KAMPALA,"PROVIDE EDUCATION PROGRAMS,CHRISTIAN MISSIONARY WORK AND SUPPORT VULNERABLE COMM",FORR156014698NB,FORP0004698NB
4414,TODD ALLEN FAMILY MINISTRIES,"KATAKWI; ACUCU VILLAGE, NGARIAM PARISH, PALAM S/C",KTAKWI,TRANSFORMING COMUNITIES THROUGH MEETING SPIRITUAL AND PHYSICAL NEEDS,INTR13649555NB,INTP000555NB
4415,TOGETHER FOR RURAL DEVELOPMENT AGENCY,"AMURIA; EFIAU ROAD, SCHOOL CELL; P.O. BOX",AMURIA,PROMOTING COMMUNITY HEALTH AND SUPPORTING GBV VICTIMS; COMMUNITY REHABILITATION,INDR141041573NB,INDP0001573NB
4416,TOGETHER RURAL DEVELOPMENT SOLIDARITY,"KAMWENGE DISTRICT, BURYANSUNGWE ,KICHECHE SUBCOUNTY","KABAROLE,KAMWENGE&MBARARA",TO IMPROVE WELLBEING OF PEOPLE THROUGH PROVISION OF RELAIBLE WATER SUPPLY,INDR356334343NB,INDP32543434NB
4417,TOGETHER SUPPORTING LIVES UGANDA,"KAMPALA; LUKULI PARISH, MAKINDYE DIVISION; P.O. BOX 9732 KAMPALA",KAMPALA,COLLABORATIVE NETWORKING FOR WEALTH CREATION; PROTECTION AND ADVOCACY FOR THE RI,INDR13828949NB,INDP000949NB
4418,TOIL AND PROMOTE AGRICULTURE,"KYEGEGWA; BUTOOKE VILLAGE, KIBUYE PARISH; KYEGEGWA SUB COUNTY. P.O. BOX 53 KYEGE",KYEGEGWA,"PROMOTION OF WOMEN MOBILIZATION, INCOME GENERATING PROJECTS; POVERTY ALLEVIATIO",INDR2529805NB,INDP2355805NB
4419,TOKENS OF LIFE UGANDA,,,,INDR13576456NB,INDP000456NB
4420,TOL INTERNATIONAL MINISTRIES,"MITYANA,MPIRIGWA VILLAGE , NAMUGO SUB COUNTY, P.O.BOX 100967 KAMPALA",MITYANA,"TO SPREAD THE GOSPEL OF CHRIST THROUGH EVANGELISM,",FORR164895760NB,FORP0005760NB
4421,TOOLS OF GOD ASSOCIATES UGANDA,"SOROTI; ADACAR VILLAGE, ASURET SUBCOUNTY; SOROTI COUNTY; P.O. BOX 827 SOROTI",SOROTI,PROMOTING PEACE AND RECONCILIATION; EDUCATION AND VOCATIONAL TRAINING; EVANGELIS,INDR72011106NB,INDP67151106NB
4422,TOONDA CULTURAL COMMUNITY CENTRE,"KABAROLE; KYAKATAAMA ZONE RWEIHAMBA PARISH, RUTEETE SC;",KABAROLE,"EDUCATION SUPPORT, ART AND CRAFT AND INFORMATION SHARING",FORR157814901NB,FORP0004901NB
4423,TOORO BOTANICAL GARDENS,"FORTPORTAL, PLOT 2 NJARA ROAD, FORTPORTAL MUNICIPALITY-UGANDA. P.O BOX 840, FORT",KABAROLE,"TO CARRY OUT BIO DIVERSITY CONSERVATION, TO PLANT DIVERSITY OF ALBERTINE RIFT PL",INDR48815687NB,INDP45405687NB
4424,TOOTO WETU EDUCATION PROGRAMME,WAKISO; KAJANSI-KITENDE ENTEBBE RD; P.O. BOX 12161 KAMPALA,WAKISO,TO RUN A SPONSORSHIP PROGRAM FOR DISADVANTAGED CHILDREN,INDR117334475NB,INDP113254475NB
4425,TORO INTEGRATED CHILD CARE,"KAMWENGE TOWN COUNCIL ,KIBALE",KAMWENGE,"WELFARE PROVISION, TRAINING SERVICES, CRIME AND EXPLOITATION OF CHILDREN EQUIP G",INDR6001185NB,INDP1989185NB
4426,TOTAL FAMILY OUTREACH/AMANI BABIES COTTAGE,"PLOT 5, ARATOOM RD JINJA, UGANDA",JINJA,TO TAKE CARE AND PROTECT THE DISADVANTAGED,INTR50163137NB,INTR54513137NB
4427,TOTO AFRICA INITIATIVE,"NGORA; OKOROM VILL. TIDIDIEK PARISH, NGORA SC; BOX 26933 KAMPALA",NGORA,"HUMANITARIAN SUPPORT, LIVELIHOOD , COMMUNITY FACILITATION AND SKILLS DEVELOPMENT",INDR158295039NB,INDP0005039NB
4428,TOUCH AFRICA NOW,"WAKISO; KITUUMA ROAD NANSANA WEST II, MUNICIPALITY; P.O. BOX 2486 KAMPALA",COUNTRYWIDE,"PROMOTING FORMAL EDUCATION THROUGH SPONSORSHIP, TEACHER SPONSORSHIP, DEVELOP AND",INDR41111443NB,INDP88141443NB
4429,TOUCH JESUS OUTREACH MINISTRIES,"KASESE; NYAMWAMBA EAST, NYAKASANGA II WARD; NYAMWAMBA DIVISION; KASESE MUNICIPAL",KASESE,EVANGELISM; INITIATING AND IMPLEMENTING CHILD WELFARE PROGRAMS FOR OVCS; JUVENI,INDR13736846NB,INDP000846NB
4430,TOUCH LIFE INITIATIVE AFRICA,"KIRYANDONGO; KIGUMBA, KIGUMBA; P.O. BOX 379 MASINDI",KIRYANDONGO,TO PROVIDE EDUCATION SPONSORSHIP TO ORPHANAGES AND OTHEIR VULNERABLE CHILDREN,INDR152644172NB,INDP0004172NB
4431,TOUCH THE FUTURE MINISTRIES,KAMPALA; P.O. BOX 25439 KAMPALA,KAMPALA,"LEADERSHIP DEVELOPMENT; ADVOCATING FOR THE ORPHANS WIDOWS, DESTITUTES AND OTHER",INDR139591217NB,INDP0001217NB
4432,TOUCHED MINDS CHARITY INITIATIVE,"KAMPALA; KASANA VILLAGE KYANJA KISAASI-KATABAZI HOUSE, NAKAWA DIVISION KAMPALA",KAMPALA,"INCLUSIVENESS, MENTORSHIP, CAPACITATION AND ADVOCACY FOR HUMAN RIGHTS OF HANDCAP",INDR159385138NB,INDP0005138NB
4433,TOUCHING LIVES INITIATIVE,KAMPALA; PLOT 80 CHORLEY CRESCENT LUZIRA; BOX 23251 KAMPALA,COUNTRYWIDE,TO TRANSFORM LIVES OF VULNERABLE WOMEN AND CHILDREN,INDR117193196NB,INDP113153196NB
4434,TOUCHING THE NEEDY AND DEVELOPING THE COMMUNITY OR,"LYANTONDE DISTRICT, P.O. BOX 35, LYANTONDE TOWN COUNCIL",LYANTONDE,TO TRANSFORM THE ABANDONED AND VULNERABLE CHILDREN,INDR147282852NB,INDP0002852NB
4435,TOWER OF HOPE CHILDREN'S FOUNDATION,"SOROTI; PLOT 2&4 OPIYAI B VILLAGE, AMEN PARISH, SOROTI SUBCOUNTY","SOROTI, KUMI, KABERAMAIDO, KATAKWI, SERERE, NGORA AND BUKEDEA",LIVELIHOOD AND ENTERPRENEURSHIP SKILLS DEVELOPMENT; PROVISION OF EDUCATION; GUID,INDR141021476NB,INDP0001476NB
4436,TPEG FOUNDATION UGANDA,"KAMPALA; NAKASERO IV PARISH,UNIVERSAL ZONE,CENTRAL DIVISION; P.O. BOX 25763 KAMP",KAMPALA,EMPOWERING THE VULNERABLE MEMBERS OF THE SOCIETY,CONR156354745NB,CONP0004745NB
4437,TRAC FM,"KAMPALA; PLOT 40 KAKUNGULU ROAD, NTINDA; P.O. BOX 11070 KAMPALA",COUNTRYWIDE,CONDUCTING RESEARCH AND TRAINING AND GUIDING PARTNERS ON EFFECTIVE USE OF TRAC F,INDR132371333NB,INDP129241333NB
4438,TRAILBLAZERS MENTORING FOUNDATION,KAMPALA; PLOT 97 MUKALAZI ROAD BUKOTO; P.O. BOX 33389 KAMPALA,KAMPALA,"GIRLD CHILD EDUCATION, REDUCTION OF TEENAGE PREGNANCIES AND CHILDREN CAPACITY BU",INDR116844255NB,INDP114004255NB
4439,TRAIN A UGANDAN YOUTH FOR DEVELOPMENT,NTUNGAMO,NTUNGAMO,TO ESTABLISH AND SDEVELOP VOCATIONAL SKILLS,INDR148193297NB,INDP0003297NB
4440,TRANSCULTURAL PSYCHO SOCIAL ORGANISATION,"KAMPALA; PLOT 3271 KANSANGA OFF GGABA ROAD. P.O. BOX 21464, KAMPALA",COUNTRYWIDE,"TRAINING HEALTH STAFF, PRIMARY SCHOOL TEACHERS AND COMMUNITY WORKERS AND PSYCHO",INDR1095799NB,INDP948799NB
4441,TRANSFORMATION AND RESTORATION INITIATIVES,"TORORO DISTRICT,PLOT 65/66,BUSIA ROAD OPP ST ANTHONY HOSPITAL",TORORO,TO PROMOTE SOCIAL WELFARE AMONG VULNERABLE GROUPS PROVIDING IMMEDIATE MEDICAL S,INDR145192231NB,INDP0002231NB
4442,TRANSFORMED FOR LIFE FORMELY A PERFECT INJUSTICE,,,,FORR10337345NB,FORP10303345NB
4443,TRANSPARENCY INTERNATIONAL UGANDA,"KAMPALA DISTRICT, PLOT 3,MARTYRS LANE, NTINDA P.O. BOX 24335, KAMPALA","KAMPALA, MASAKA, HOIMA, BULISA, IGANGA, BUSIA AND NAKAPIRIPIRITI",TO CREATE AWARENESS ON ANTI-CORRUPTION,INDR15593668NB,INDP14413668NB
4444,TRANSPARENT HANDS UGANDA,"KAMPALA; BLOCK 244, NAKKU CLOSE KAYONGO ZONE, NAMUWONGO, MAKINDYE EAST",KAMPALA,"TO PROVIDE FINANCIAL RELIEF TO PARENTS WHO CAN NOT AFFORD MEDICALS,CLOTHINGS",INDR160335247NB,INDP0005247NB
4445,TREE ADOPTION UGANDA( TAU),,,,,
4446,TREE OF LIFE SPIRITUAL INSTITUTION,KABAROLE; KITAKA ROAD BUKUUKU SUBCOUNTY; P.O. BOX 95 KAMPALA,COUNTRYWIDE,"FOOD SECURITY, EDUCATION TO VULNERABLE AND DESTITUTE CHILDREN, OUTREACHES AND EV",INTR120971431NB,INTP117301431NB
4447,TREES FOR THE FUTURE UGANDA,,,,INDR10165306NB,INDP9731306NB
4448,TRIANGULAR COMMUNITIES UGANDA,"IGANGA; BUKOYO VILL., BUKOYO PARISH, BULAMOGI S/COUNTY; BOX 328 IGANGA",IGANGA,TO IMPACT KNOWLEDGE AND SKILLS ON INCOME GENERATION EMPOWERMENT,INDR160205258NB,INDP0005258NB
4449,TRIAS UGANDA,KAMPALA; PLOT 244 LUGWANA KAGGWA CLOSE; P.O BOX 5617 KAMPALA,COUNTRYWIDE,LIVELIHOOD SECURITY OF MICRO ENTREPRENEURSHIP AND SMALL SCALE FARMERS,FORR4822510NB,FORP4658510NB
4450,TRIBUTARIES OF HOPE MINISTRIES UGANDA,"JINJA; NAKABANGO VILLAGE, NAMULESA PARISH-MAFUBIRA SC BUTEMBE COUNTY; P.O BOX 28",JINJA,"EDUCATION SUPPORT, ADVOCACTE FOR EQUALITY AND HUMAN RIGHTS",INDR153344326NB,INDP0004326NB
4451,TRINITY CENTRE FOR WORLD MISSION,"KAPCHORWA; BLOCK 1 PLOT 266, KAWOWO VILL. KIRWOKO PARISH KAPTANYA SC; BOX 123 KA",KAPCHORWA,"PREACH THE GOSPEL, CHURCH PLANTING, EDUCATION SUPPORT AND CARE FOR PLA",INTR118083065NB,INTP113813065NB
4452,TRINITY NATETE COMMUNITY DEVELOPMENT,"KAMPALA; NATEETE CHURCH ZONE; BLOCK 19, PLOT 389; P.O. BOX 74 KAMPALA",COUNTRYWIDE,TO MOBOLIZE VARIOUS MEMBERS OF THE COMMUNITY INTO DEVELOPMENT PROGRAMMES; PROVIS,INDR13853990NB,INDP000990NB
4453,TRINITY REDEMPTION EVANGELICAL INTERNATIONAL,"KAMPALA;KAKEEKA,RUBAGA DIVISION,BOX10219 KAMPALA",KAMPALA,TO PROMOTE EVANGELISM,INDR116092985NB,INDP111632985NB
4454,TRIUMPHALISM HEALTH INITIATIVE,,,,INDR12149388NB,INDP12045388NB
4455,TRIUMPHANT WORD OF FAITH MINISTRIES,"WAKISO; TTEGA CELL, NABBINGO WARD, KYENGERA TOWN TOWN COUNCIL; P.O. BO 31921 KAM",COUNTRYWIDE,EDUCATION SUPPORT AND SKILLS DEVELOPMENT; EVANGELISM AND PROVISION OF SCHOLASTIC,INDR140511482NB,INDP0001482NB
4456,TROPHY YOUTH EMPOWERMENT,WAKISO; KIGO ZONE P.O. BOX 1452 KAMPALA,WAKISO,HEALTH CARE AND ENTERPRENEURSHIP SKILLS DEVELOPMENT,FORR154244459NB,FORP0004459NB
4457,TROSSAMFUNDET SVENSKA KYRKAN,"KAMPALA, AHA TOWER 2ND FLOOR ,PLOT 7 LOURDEL ROAD NAKASERO","KAYANGWALI, KIIKUBE,HOIMA",TO CONTRIBUTE TO FAIR AND SUSTAINABLE LIVEHOODS THROUGH FOCUSING ON WOMWN AND YO,INTR164435768NB,INTP0005768NB
4458,TRUE HEALING CENTRE CHURCH INTERNATIONAL,"WAKISO, WAKISO TOWN COUNCIL P.O. BOX 3312 KAMPALA",WAKISO,"EDUCATION AND TRAINING; COUNSELLING, INCOME GENERATING ACTIVITIES, EVANGELISM AN",INDR146852739NB,INDP00002739NB
4459,TRUE IMPACT KWA WATOTO WORLD WIDE,,,,INDR12998213NB,INDP000213NB
4460,TRUE IMPACT UGANDA,"MITYANA; OLD MUBENDE ROAD, MITYANA MUNICIPALITY; P.O BOX 34 MITYANA",MITYANA,ADVANCE CHRISTIAN FAITH; DEVELOP CHRISTIAN MINORITY COMMUNITIES TRHOUGH EDCUATIO,INDR13743789NB,INDP000789NB
4461,TRUE LIGHT MISSION,WAKISO; MASAJJA A LCI ZONE MASAJJA PARISH SSABAGABO MAKINDYE MUNICIPALITY ALONG,WAKISO,PROVIDE DEVELOPMENT SKILLS TO THE YOUTHS AND CARRY PUT EVANGELISM,INDR86864123NB,INDP81934123NB
4462,TRUE MERCY AFRICA,"BUIKWE DISTRICT,NAMENGO LUGAZI",BUIKWE,TO PROMOTE EVANGELISM,INDR145742417NB,INDP0002417NB
4463,TRUE VENTURES FOR CHILDREN UGANDA,,COUNTRYWIDE,PREACH THE GOSPEL AND ESTABLISHING RELIEF HOMES TO THE HOMELESS,INDR13625473NB,INDP000473NB
